     6.1 +6378213.520    -9089.997       +0.000    -0.026781  +210.128648    +0.000000 +0.4999681366 +0.5000318614 -0.5000318614 -0.4999681366 +0.00000 +0.00000 -0.00000    1000.000  0.61750 -0.0015526 +3.63868     +83.00
     6.2 +6378213.520    -9068.812       +0.000    -0.026781  +213.560748    +0.000000 +0.4999686487 +0.5000313494 -0.5000313494 -0.4999686487 +0.00000 +0.00000 -0.00000    1000.000  0.62758 -0.0015472 +3.63869     +82.97
     6.3 +6378213.520    -9047.284       +0.000    -0.026781  +216.992848    +0.000000 +0.4999691445 +0.5000308535 -0.5000308535 -0.4999691445 +0.00000 +0.00000 -0.00000    1000.000  0.63767 -0.0015419 +3.63869     +82.94
     6.4 +6378213.520    -9025.413       +0.000    -0.026781  +220.424948    +0.000000 +0.4999696250 +0.5000303732 -0.5000303732 -0.4999696250 +0.00000 +0.00000 -0.00000    1000.000  0.64775 -0.0015365 +3.63869     +82.91
     6.5 +6378213.520    -9003.199       +0.000    -0.026781  +223.857048    +0.000000 +0.4999700907 +0.5000299075 -0.5000299075 -0.4999700907 +0.00000 +0.00000 -0.00000    1000.000  0.65784 -0.0015312 +3.63870     +82.87
     6.6 +6378213.520    -8980.642       +0.000    -0.026781  +227.289148    +0.000000 +0.4999705424 +0.5000294559 -0.5000294559 -0.4999705424 +0.00000 +0.00000 -0.00000    1000.000  0.66793 -0.0015258 +3.63870     +82.84
     6.7 +6378213.520    -8957.742       +0.000    -0.026781  +230.721248    +0.000000 +0.4999709806 +0.5000290177 -0.5000290177 -0.4999709806 +0.00000 +0.00000 -0.00000    1000.000  0.67801 -0.0015205 +3.63870     +82.81
     6.8 +6378213.520    -8934.498       +0.000    -0.026781  +234.153348    +0.000000 +0.4999714059 +0.5000285924 -0.5000285924 -0.4999714059 +0.00000 +0.00000 -0.00000    1000.000  0.68810 -0.0015152 +3.63871     +82.78
     6.9 +6378213.520    -8910.911       +0.000    -0.026781  +237.585448    +0.000000 +0.4999718190 +0.5000281794 -0.5000281794 -0.4999718190 +0.00000 +0.00000 -0.00000    1000.000  0.69818 -0.0015098 +3.63871     +82.74
     7.0 +6378213.520    -8886.981       +0.000    -0.026781  +241.017548    +0.000000 +0.4999722203 +0.5000277781 -0.5000277781 -0.4999722203 +0.00000 +0.00000 -0.00000    1000.000  0.70827 -0.0015044 +3.63871     +82.71
     7.1 +6378213.520    -8862.707       +0.000    -0.026781  +244.449648    +0.000000 +0.4999726104 +0.5000273881 -0.5000273881 -0.4999726104 +0.00000 +0.00000 -0.00000    1000.000  0.71836 -0.0014991 +3.63872     +82.68
     7.2 +6378213.520    -8838.091       +0.000    -0.026781  +247.881748    +0.000000 +0.4999729896 +0.5000270089 -0.5000270089 -0.4999729896 +0.00000 +0.00000 -0.00000    1000.000  0.72844 -0.0014937 +3.63872     +82.64
     7.3 +6378213.520    -8813.131       +0.000    -0.026781  +251.313848    +0.000000 +0.4999733585 +0.5000266401 -0.5000266401 -0.4999733585 +0.00000 +0.00000 -0.00000    1000.000  0.73853 -0.0014883 +3.63873     +82.61
     7.4 +6378213.520    -8787.828       +0.000    -0.026781  +254.745948    +0.000000 +0.4999737174 +0.5000262812 -0.5000262812 -0.4999737174 +0.00000 +0.00000 -0.00000    1000.000  0.74861 -0.0014829 +3.63873     +82.57
     7.5 +6378213.520    -8762.182       +0.000    -0.026781  +258.178048    +0.000000 +0.4999740668 +0.5000259318 -0.5000259318 -0.4999740668 +0.00000 +0.00000 -0.00000    1000.000  0.75870 -0.0014775 +3.63873     +82.54
     7.6 +6378213.520    -8736.192       +0.000    -0.026781  +261.610148    +0.000000 +0.4999744070 +0.5000255916 -0.5000255916 -0.4999744070 +0.00000 +0.00000 -0.00000    1000.000  0.76878 -0.0014721 +3.63874     +82.50
     7.7 +6378213.520    -8709.860       +0.000    -0.026781  +265.042248    +0.000000 +0.4999747385 +0.5000252603 -0.5000252603 -0.4999747385 +0.00000 +0.00000 -0.00000    1000.000  0.77887 -0.0014666 +3.63874     +82.47
     7.8 +6378213.520    -8683.184       +0.000    -0.026781  +268.474348    +0.000000 +0.4999750614 +0.5000249373 -0.5000249373 -0.4999750614 +0.00000 +0.00000 -0.00000    1000.000  0.78896 -0.0014611 +3.63875     +82.43
     7.9 +6378213.520    -8656.165       +0.000    -0.026781  +271.906448    +0.000000 +0.4999753762 +0.5000246226 -0.5000246226 -0.4999753762 +0.00000 +0.00000 -0.00000    1000.000  0.79904 -0.0014556 +3.63875     +82.39
     8.0 +6378213.520    -8628.803       +0.000    -0.026781  +275.338548    +0.000000 +0.4999756831 +0.5000243157 -0.5000243157 -0.4999756831 +0.00000 +0.00000 -0.00000    1000.000  0.80913 -0.0014501 +3.63875     +82.36
     8.1 +6378213.520    -8601.097       +0.000    -0.026781  +278.770648    +0.000000 +0.4999759825 +0.5000240163 -0.5000240163 -0.4999759825 +0.00000 +0.00000 -0.00000    1000.000  0.81921 -0.0014446 +3.63876     +82.32
     8.2 +6378213.520    -8573.049       +0.000    -0.026781  +282.202748    +0.000000 +0.4999762746 +0.5000237242 -0.5000237242 -0.4999762746 +0.00000 +0.00000 -0.00000    1000.000  0.82930 -0.0014390 +3.63876     +82.28
     8.3 +6378213.520    -8544.657       +0.000    -0.026781  +285.634848    +0.000000 +0.4999765597 +0.5000234392 -0.5000234392 -0.4999765597 +0.00000 +0.00000 -0.00000    1000.000  0.83938 -0.0014334 +3.63877     +82.24
     8.4 +6378213.520    -8515.922       +0.000    -0.026781  +289.066948    +0.000000 +0.4999768380 +0.5000231609 -0.5000231609 -0.4999768380 +0.00000 +0.00000 -0.00000    1000.000  0.84947 -0.0014278 +3.63877     +82.21
     8.5 +6378213.520    -8486.843       +0.000    -0.026781  +292.499048    +0.000000 +0.4999771098 +0.5000228891 -0.5000228891 -0.4999771098 +0.00000 +0.00000 -0.00000    1000.000  0.85956 -0.0014222 +3.63878     +82.17
     8.6 +6378213.520    -8457.422       +0.000    -0.026781  +295.931148    +0.000000 +0.4999773753 +0.5000226237 -0.5000226237 -0.4999773753 +0.00000 +0.00000 -0.00000    1000.000  0.86964 -0.0014165 +3.63878     +82.13
     8.7 +6378213.520    -8427.657       +0.000    -0.026781  +299.363248    +0.000000 +0.4999776347 +0.5000223643 -0.5000223643 -0.4999776347 +0.00000 +0.00000 -0.00000    1000.000  0.87973 -0.0014108 +3.63878     +82.09
     8.8 +6378213.520    -8397.549       +0.000    -0.026781  +302.795348    +0.000000 +0.4999778882 +0.5000221108 -0.5000221108 -0.4999778882 +0.00000 +0.00000 -0.00000    1000.000  0.88981 -0.0014050 +3.63879     +82.05
     8.9 +6378213.520    -8367.098       +0.000    -0.026781  +306.227448    +0.000000 +0.4999781360 +0.5000218630 -0.5000218630 -0.4999781360 +0.00000 +0.00000 -0.00000    1000.000  0.89990 -0.0013993 +3.63879     +82.01
     9.0 +6378213.520    -8336.304       +0.000    -0.026781  +309.659548    +0.000000 +0.4999783783 +0.5000216207 -0.5000216207 -0.4999783783 +0.00000 +0.00000 -0.00000    1000.000  0.90998 -0.0013935 +3.63880     +81.97
     9.1 +6378213.520    -8305.166       +0.000    -0.026781  +313.091648    +0.000000 +0.4999786154 +0.5000213837 -0.5000213837 -0.4999786154 +0.00000 +0.00000 -0.00000    1000.000  0.92007 -0.0013877 +3.63880     +81.93
     9.2 +6378213.520    -8273.685       +0.000    -0.026781  +316.523748    +0.000000 +0.4999788473 +0.5000211519 -0.5000211519 -0.4999788473 +0.00000 +0.00000 -0.00000    1000.000  0.93016 -0.0013818 +3.63881     +81.89
     9.3 +6378213.520    -8241.861       +0.000    -0.026781  +319.955848    +0.000000 +0.4999790742 +0.5000209250 -0.5000209250 -0.4999790742 +0.00000 +0.00000 -0.00000    1000.000  0.94024 -0.0013759 +3.63881     +81.85
     9.4 +6378213.520    -8209.694       +0.000    -0.026781  +323.387948    +0.000000 +0.4999792962 +0.5000207029 -0.5000207029 -0.4999792962 +0.00000 +0.00000 -0.00000    1000.000  0.95033 -0.0013700 +3.63882     +81.80
     9.5 +6378213.520    -8177.184       +0.000    -0.026781  +326.820048    +0.000000 +0.4999795137 +0.5000204855 -0.5000204855 -0.4999795137 +0.00000 +0.00000 -0.00000    1000.000  0.96041 -0.0013640 +3.63882     +81.76
